Date,Site,Sex,Weight,TailBreak
6/26/90,SAND,J,.,W
6/26/90,SAND,J,.,W
6/26/90,SAND,M,3,W
6/26/90,BASN,J,.,.
6/26/90,BASN,M,6,W
6/26/90,IBPE,.,.,.
6/26/90,IBPE,F,9,W
6/26/90,RABB,.,.,.
6/26/90,RABB,.,.,.
6/26/90,WELL,.,.,.
6/26/90,EAST,M,3,W
6/26/90,EAST,F,19,W
6/26/90,EAST,F,3,B
6/26/90,EAST,.,.,.
6/26/90,EAST,M,18,W
6/26/90,WEST,.,.,.
6/29/90,CALI,.,.,W
6/29/90,GRAV,.,.,.
6/29/90,SAND,F,7,W
6/29/90,SAND,.,.,.
6/29/90,BASN,F,40,W
6/29/90,BASN,.,.,.
6/29/90,BASN,M,4,W
6/29/90,BASN,F,31,W
6/29/90,BASN,J,.,W
6/29/90,IBPE,M,2,W
6/29/90,IBPE,F,2,W
6/29/90,IBPE,.,.,.
6/29/90,RABB,.,.,.
6/29/90,RABB,.,.,.
6/29/90,WELL,.,.,.
6/29/90,EAST,M,29,W
6/29/90,EAST,.,.,W
6/29/90,WEST,M,29,W
7/17/90,CALI,F,.,.
7/17/90,RABB,J,.,W
7/17/90,RABB,J,.,W
7/17/90,RABB,J,.,W
7/20/90,GRAV,J,.,W
7/20/90,SAND,J,.,W
7/20/90,IBPE,J,.,B
7/20/90,IBPE,J,.,W
7/20/90,RABB,J,.,W
7/20/90,RABB,J,.,W
7/20/90,RABB,M,16,W
7/20/90,WELL,J,.,W
7/20/90,EAST,M,16,W
7/24/90,CALI,J,.,W
7/24/90,CALI,F,5,W
7/24/90,SAND,F,4,W
7/24/90,SAND,J,.,W
7/24/90,SAND,F,13,W
7/24/90,IBPE,J,.,W
7/24/90,RABB,J,.,W
7/24/90,RABB,J,.,W
7/24/90,RABB,J,.,W
7/24/90,WELL,J,.,W
7/24/90,WELL,J,.,W
7/24/90,EAST,F,18,W
7/24/90,WEST,F,6,W
7/27/90,CALI,F,10,W
7/27/90,GRAV,F,21,W
7/27/90,GRAV,F,6,W
7/27/90,SAND,J,.,W
7/27/90,IBPE,J,.,W
7/27/90,RABB,J,.,W
7/27/90,RABB,J,.,W
7/27/90,RABB,J,.,W
7/27/90,RABB,J,.,W
7/27/90,WELL,F,6,W
7/27/90,EAST,M,2,W
8/14/90,GRAV,J,1,W
8/14/90,GRAV,J,1,W
8/14/90,GRAV,J,1,W
8/14/90,SAND,J,2,W
8/14/90,BASN,.,.,.
8/14/90,IBPE,.,.,.
8/14/90,IBPE,.,.,.
8/14/90,RABB,J,.,W
8/14/90,RABB,J,.,W
8/14/90,WELL,J,.,W
8/14/90,EAST,.,.,.
8/14/90,WEST,.,.,.
8/17/90,CALI,J,2,W
8/17/90,GRAV,F,4,W
8/17/90,SAND,.,.,.
8/17/90,SAND,J,3,W
8/17/90,RABB,J,2,W
8/17/90,RABB,J,2,W
8/17/90,RABB,J,1,W
8/17/90,RABB,J,.,.
8/17/90,WELL,F,25,W
8/17/90,EAST,.,.,.
8/17/90,WEST,.,.,.
8/21/90,CALI,F,.,B
8/21/90,CALI,F,8,B
8/21/90,GRAV,J,.,W
8/21/90,SAND,M,4,W
8/21/90,SAND,M,.,W
8/21/90,SAND,F,.,W
8/21/90,BASN,.,.,.
8/21/90,IBPE,.,.,.
8/21/90,IBPE,.,.,.
8/21/90,RABB,J,.,W
8/21/90,RABB,.,.,.
8/21/90,WELL,.,.,.
8/21/90,EAST,F,.,W
8/21/90,EAST,M,.,W
8/21/90,EAST,F,17,B
8/21/90,WEST,.,.,.
8/24/90,GRAV,.,.,.
8/24/90,SAND,.,.,.
8/24/90,SAND,F,2,W
8/24/90,BASN,J,1,W
8/24/90,IBPE,J,4,W
8/24/90,IBPE,J,3,W
8/24/90,RABB,.,.,.
8/24/90,RABB,F,2,.
8/24/90,WELL,.,.,.
8/24/90,EAST,F,3,W
8/24/90,WEST,.,.,.
9/11/90,GRAV,.,.,.
9/11/90,SAND,F,2,W
9/11/90,SAND,M,3,W
9/11/90,SAND,F,4,B
9/11/90,SAND,F,9,B
9/11/90,SAND,F,5,W
9/11/90,BASN,.,.,.
9/11/90,IBPE,.,.,.
9/11/90,IBPE,.,.,.
9/11/90,RABB,F,3,W
9/11/90,RABB,F,3,W
9/11/90,RABB,J,.,W
9/11/90,RABB,J,.,W
9/11/90,WELL,F,2,W
9/11/90,WELL,M,2,W
9/11/90,EAST,J,.,W
9/11/90,EAST,F,2,W
9/11/90,EAST,M,4,W
9/11/90,EAST,F,2,B
9/11/90,EAST,F,3,B
9/11/90,EAST,M,2,W
9/11/90,WEST,.,.,.
9/14/90,CALI,F,34,B
9/14/90,GRAV,.,.,.
9/14/90,SAND,J,5,W
9/14/90,SAND,J,5,W
9/14/90,SAND,J,.,W
9/14/90,BASN,.,.,.
9/14/90,IBPE,.,.,.
9/14/90,IBPE,J,.,W
9/14/90,RABB,J,2,B
9/14/90,RABB,J,2,W
9/14/90,WELL,.,.,.
9/14/90,EAST,M,2,B
9/14/90,WEST,.,.,.
9/18/90,CALI,J,3,W
9/18/90,GRAV,.,.,.
9/18/90,SAND,J,.,W
9/18/90,SAND,.,.,.
9/18/90,BASN,J,1,W
9/18/90,IBPE,J,.,W
9/18/90,IBPE,F,1,B
9/18/90,RABB,J,.,W
9/18/90,RABB,M,2,W
9/18/90,RABB,J,.,W
9/18/90,RABB,.,.,.
9/18/90,WELL,.,.,.
9/18/90,EAST,M,6,B
9/18/90,EAST,J,3,W
9/18/90,EAST,F,2,W
9/18/90,WEST,.,.,.
9/21/90,CALI,.,.,.
9/21/90,GRAV,.,.,.
9/21/90,SAND,F,2,W
9/21/90,SAND,.,.,.
9/21/90,BASN,.,.,.
9/21/90,IBPE,F,2,W
9/21/90,IBPE,M,.,W
9/21/90,IBPE,M,.,W
9/21/90,RABB,J,.,.
9/21/90,RABB,M,3,W
9/21/90,RABB,F,3,W
9/21/90,WELL,M,.,B
9/21/90,EAST,M,4,W
9/21/90,EAST,M,5,W
9/21/90,EAST,F,4,W
9/21/90,EAST,M,3,W
9/21/90,EAST,J,3,W
9/21/90,WEST,J,1,W
9/21/90,WEST,M,5,W
10/23/90,CALI,F,3,B
10/23/90,CALI,M,4,B
10/23/90,CALI,M,5,W
10/23/90,GRAV,M,5,W
10/23/90,SAND,F,2,W
10/23/90,SAND,F,4,W
10/23/90,SAND,M,4,W
10/23/90,SAND,F,2,W
10/23/90,BASN,.,.,.
10/23/90,IBPE,.,.,.
10/23/90,IBPE,M,5,W
10/23/90,IBPE,F,3,B
10/23/90,IBPE,F,3,B
10/23/90,IBPE,J,1,W
10/23/90,IBPE,M,6,W
10/23/90,IBPE,M,5,B
10/23/90,RABB,M,5,B
10/23/90,RABB,F,2,W
10/23/90,RABB,M,5,W
10/23/90,RABB,F,4,W
10/23/90,WELL,F,2,W
10/23/90,WELL,M,2,W
10/23/90,WELL,F,2,W
10/23/90,WELL,F,2,B
10/23/90,WELL,M,2,W
10/23/90,WELL,F,2,B
10/23/90,EAST,M,6,B
10/23/90,EAST,M,5,B
10/23/90,EAST,M,6,W
10/23/90,EAST,F,4,W
10/23/90,EAST,M,3,W
10/23/90,EAST,F,4,W
10/23/90,WEST,.,.,.
10/26/90,CALI,M,5,W
10/26/90,GRAV,F,3,W
10/26/90,SAND,F,2,W
10/26/90,SAND,M,2,W
10/26/90,BASN,M,5,W
10/26/90,IBPE,.,.,.
10/26/90,IBPE,.,.,.
10/26/90,RABB,M,4,W
10/26/90,RABB,J,1,W
10/26/90,RABB,M,4,B
10/26/90,WELL,.,.,.
10/26/90,EAST,.,.,.
10/26/90,WEST,.,.,.
10/30/90,CALI,M,5,W
10/30/90,CALI,M,5,B
10/30/90,CALI,F,4,W
10/30/90,CALI,M,5,W
10/30/90,GRAV,.,.,.
10/30/90,SAND,J,1,B
10/30/90,SAND,M,6,W
10/30/90,SAND,F,5,W
10/30/90,SAND,M,3,W
10/30/90,BASN,.,.,.
10/30/90,IBPE,F,1,W
10/30/90,IBPE,F,3,B
10/30/90,IBPE,F,3,W
10/30/90,IBPE,F,4,B
10/30/90,IBPE,F,2,B
10/30/90,IBPE,F,4,W
